RR#,Callsign,Output (MHz),Offset (MHz),Tone (Hz),RepeaterBook ID,Location,Mode,Group,Website,RepeaterBook State ID,Latitude,Longitude
1,WW7PSR,146.960,-0.6,103.5,,"Capitol Hill, Seattle, WA",FM,Puget Sound Repeater Group,http://www.psrg.org,,47.6395,-122.3693
2,WW7PSR,52.870,-1.7,103.5,,Seattle,FM,Puget Sound Repeater Group,http://psrg.org,,47.62384,-122.31519
3,W7PFR,53.410,-1.7,100,,Eatonville,FM,Gobblers Knob Repeater Group,https://www.qrz.com/db/W7PFR,,46.8354,-122.2878
4,W7PFR,443.975,5.0,103.5,,Eatonville,FM,Gobblers Knob Repeater Group,https://www.qrz.com/db/W7PFR,,46.8354,-122.2878
5,WW7SEA,444.425,5.0,141.3,,Seattle,FM,Barry K7PAL's repeater system,https://www.qrz.com/db/WW7SEA,,47.6322,-122.3539
6,WW7SEA,444.700,5.0,103.5,,Seattle,FM,Barry K7PAL's repeater system,https://www.qrz.com/db/WW7SEA,,47.637010000000004,-122.3488
7,W7DX,147.000,-0.6,103.5,,Redmond,FM,Western Washington DX Club,https://www.wwdxc.org/,,47.67459,-122.05393
8,W7JCR,145.150,-0.6,114.8,,Port Townsend,FM,Jefferson County Amateur Radio Club,https://w7jcr.wordpress.com/,,48.1247,-122.7651
9,AA7MI,440.725,5.0,114.8,,Marrowstone Isl.,FM,Marrowstone Island Amateur Radio Club,https://qrz.com/db/AA7MI,,48.04026,-122.68775
10,WA7DEM,146.775,-0.6,156.7,,"Lynnwood, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,47.86148,-122.28371
11,WA7DEM,146.925,-0.6,156.7,,"Granite Falls, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,48.13695,-121.9814
12,WA7DEM,224.380,-1.6,103.5,,"Marysville, WA",FM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,48.12,-122.24
13,WA7DEM,442.975,5.0,156.7,,"Clearview, WA",NBFM,Snohomish County Auxiliary Communications Service,https://wa7dem.info,,47.8329,-122.12397
