RR#,Group,Callsign,Location,Mode,Output (MHz),Offset (MHz),Tone (Hz),Echolink,Allstar
1,PSRG,WW7PSR,Seattle,FM,146.96,-0.6,103.5,WW7PSR-R,2462
2,PSRG,WW7PSR,Seattle,FM,52.87,-1.7,103.5,WW7PSR-L,2464
3,PSRG,WW7PSR,Seattle,DMR1,440.775,5,CC2/TS1 Seattle1 TG/803153,,
4,Highline,NC7G,SeaTac,FM,146.66,-0.6,103.5,,
5,Highline,WA7ST,SeaTac,FM,443.1,5,103.5,,
6,K7DK,K7DK,Buck Mtn.,FM,440.95,5,110.9,,
7,RASC,N7GDE,Lyman Hill,FM,145.19,-0.6,127.3,,
8,Seattle ACS,W7ACS,Seattle,FM,442.3,5,141.3,,48832
9,Seattle ACS,W7ACS,Seattle,FM,444.55,5,141.3,,48836
10,Seattle ACS,W7ACS,Seattle,FM,442.875,5,141.3,,48842
11,Seattle ACS,W7ACS,Seattle,FM,443.475,5,141.3,,
12,Seattle ACS,W7ACS,North Seattle,FM,443.65,5,141.3,,
13,Seattle ACS,W7ACS,Lake Forest Park,FM,440.6,5,141.3,,
14,Seattle ACS,W7ACS,White Center,FM,443.2,5,141.3,,
15,WA7TBP,WA7TBP,Carnation,FM,223.96,-1.6,123,,
16,JCARC,W7JCR,Port Townsend,FM,145.15,-0.6,114.8,W7JCR-R,
17,Marrowstone,AA7MI,Marrowstone Isl.,FM,440.725,5,114.8,,
18,OARS,NT7H,Olympia,FM,147.36,0.6,103.5,,
19,OARS,NT7H,Crawford Mtn.,FM,224.46,-1.6,103.5,,
20,OARS,NT7H,Crawford Mtn.,FM,441.4,5,103.5,,
21,MIRO,W7MIR,Mercer Isl.,FM,147.16,0.6,146.2,W7MIR-R,
22,MIRO,W7MIR,Mercer Isl.,FM,440.15,5,103.5,,
23,KCARC,KC7Z,Silverdale,FM,444.075,5,103.5,,
24,ICARC,W7AVM,Whidbey Isl.,FM,146.86,-0.6,127.3,,
25,N7KN,N7KN,Whidbey Isl.,FM,441.425,5,110.9,,
26,WW7SEA,WW7SEA,Seattle,FM,444.7,5,103.5,,48844
27,Shoreline ACS,W7AUX,Shoreline,FM,442.825,5,103.5,,
28,Shoreline ACS,W7AUX,Shoreline,FM,440.3,5,103.5,,
29,Shoreline ACS,W7AUX,Shoreline,FM,224.02,-1.6,103.5,,
30,BEARS,K7NWS,Tiger Mtn.,FM,145.33,-0.6,179.9,,
31,BEARS,K7NWS,Tiger Mtn.,FM,224.34,-1.6,110.9,,
32,BEARS,K7NWS,Tiger Mtn.,DMR1,442.075,5,CC2/TS1 BEARS1 TG/312488,,
33,LWHC,K7LWH,Kirkland,FM,53.17,-1.7,100,,
34,LWHC,K7LWH,Kirkland,FM,145.49,-0.6,103.5,K7LWH-R,
35,LWHC,K7LWH,Kirkland,FM,224.36,-1.6,103.5,,
36,LWHC,K7LWH,Kirkland,FM,441.075,5,103.5,,
37,BEARONS,W7FLY,Lynnwood,FM,443.925,5,100,,
38,Northshore EMC,NE7MC,Kenmore,FM,442,5,141.3,,
39,SeaTac,WW7STR,Tiger Mtn.,DMR1,146.875,-0.6,CC1/TS1 Local1 TG/3181,,
40,SeaTac,WW7STR,Cougar Mtn.,FM,224.44,-1.6,103.5,,
41,SeaTac,WW7STR,Cougar Mtn.,FM,441.55,5,103.5,,
42,SeaTac,WW7STR,Tiger Mtn.,FM,443.05,5,103.5,,
43,SeaTac,WW7STR,Cougar Mtn.,FM,927.2125,-25,114.8,,
44,N3KPU,N3KPU,Graham,FM,145.23,-0.6,146.2,,
45,Madigan Army,KE7YYD,JBLM,FM,442.75,5,146.2,,
46,W7TJL,W7TJL,Gig Harbor,FM,224.2,-1.6,123,W7TJL-R,
47,FWARC,WA7FW,Federal Way,FM,147.04,0.6,103.5,,
48,FWARC,WA7FW,Federal Way,FM,146.76,-0.6,103.5,,
49,FWARC,WA7FW,Federal Way,FM,442.95,5,103.5,,
50,FWARC,WA7FW,Federal Way,FM,442.925,5,D0362,,
51,FWARC,WA7FW,Federal Way,DSTAR,146.84,-0.6,,,
52,FWARC,WA7FW,Federal Way,DSTAR,443.85,5,,,
53,FWARC,WA7FW,Federal Way,DSTAR,1290.1,-20,,,
54,MBARC,K7SKW,Mt. Constitution,FM,146.74,-0.6,103.5,,
55,MBARC,K7SKW,Mt. Constitution,FM,444.05,5,103.5,,
56,MBARC,K7SKW,Bellingham,FM,443.75,5,103.5,,
57,MBARC,K7SKW,Bellingham,FM,147.16,0.6,103.5,,
58,MBARC,K7SKW,Bellingham,YSF,443.65,5,103.5,,
59,PARET,KA7EOC,Gig Harbor,FM,145.35,-0.6,103.5,,
60,MCARC,N7SK,Shelton,FM,146.72,-0.6,103.5,,
61,MCARC,N7SK,Shelton,FM,443.25,5,100,,
62,MCARC,N7SK,Shelton,FM,927.4125,-25,114.8,,
63,SCHC,WA7LAW,Everett,FM,147.18,0.6,103.5,,505760
64,SCHC,WA7LAW,Everett,YSF,444.575,5,103.5,,505760
65,NMARES,NM7E,Belfair,FM,145.17,-0.6,103.5,,
66,NMARES,NM7E,Belfair,FM,224.26,-1.6,103.5,,
67,Eatonville,W7EAT,Eatonville,FM,146.7,-0.6,103.5,,41291
68,Eatonville,W7EAT,Graham,FM,224.18,-1.6,103.5,,41291
69,Eatonville,W7EAT,Eatonville,FM,442.725,5,103.5,,41291
70,Pierce,W7AAO,Grass Mtn.,FM,145.37,-0.6,136.5,,
71,Mike & Key,K7LED,Tiger Mtn.,FM,146.82,-0.6,103.5,,
72,Mike & Key,K7LED,Tiger Mtn.,FM,224.12,-1.6,103.5,,
73,Mike & Key,WA7HJR,Tiger Mtn.,FM,444.65,5,131.8,WA7HJR-R,
74,Mike & Key,KB7CNN,Tiger Mtn.,FM,1292.2,-20,103.5,,
75,Bainbridge,W7NPC,Bainbridge Isl.,FM,444.475,5,103.5,,
76,Bainbridge,W7NPC,Bainbridge Isl.,DSTAR,444.5625,5,,,
77,Bainbridge,W7NPC,Bainbridge Isl.,DSTAR,1290.5,-20,,,
78,K6MBY,K6MBY,Sequim,FM,444.9,5,131.8,,
79,WF7W,WF7W,Port Angeles,FM,145.13,-0.6,100,,
80,KC7EQO,KC7EQO,Sequim,FM,442.1,5,100,,
81,CCARC,W7FEL,Striped Peak,FM,146.76,-0.6,100,W7FEL-R,
82,WA7FUS,WA7FUS,Lake Forest Park,FM,224.22,-1.6,103.5,,
83,WA6MPG,WA6MPG,Mt. Constitution,FM,224.54,-1.6,67,,
84,Orcas 220,N7JN,Mt. Constitution,FM,224.48,-1.6,103.5,,
85,RCTacoma,W7DK,Tacoma,FM,147.28,0.6,103.5,,
86,RCTacoma,W7DK,Tacoma,FM,440.625,5,103.5,,
87,RCTacoma,W7DK,Crawford Mtn.,FM,147.38,0.6,103.5,,
88,TED,W7TED,Tacoma,FM,442.45,5,103.5,,
89,K7CH,K7CH,Baw Faw Peak,FM,52.93,-1.7,100,,
90,K7CH,K7CH,South Mtn.,FM,53.03,-1.7,100,,
91,WA7ROY,WA7ROY,Roy,FM,444.175,5,123,,
